name;city;start_date;end_date;Latitude;Longtitude;link
Explanation and Prediction in Linguistics. Formalist and Functionalist Approaches;Heidelberg, Baden-Württemberg;Feb 13, 2019;Feb 14, 2019;8.439048633136764;-154.21927703852396;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352716
First Conference of Indonesian Community for Forensic Linguistics;Pekanbaru, Riau Province;Feb 09, 2019;Feb 09, 2019;-77.11007138029302;141.45887033846523;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355396
Giornate di Studi Scientifici sul Linguaggio II - 2019;Rovereto (TN);Feb 11, 2019;Feb 12, 2019;17.91744981427336;-95.80973651481807;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354716
Integration of Universities into International Academic Community: Tradition and Modern Tendencies;Ulyanovsk;Feb 14, 2019;Feb 16, 2019;53.808065705499395;-9.275841339515564;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341576
International Conference on Hindi as a Second / Foreign Language;Lisbon;Feb 06, 2019;Feb 08, 2019;27.22960945446073;161.252252155722;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323776
International Conference on Indigenous Languages, Societies and Cultures of India;Hyderabad, Telangana;Feb 21, 2019;Feb 22, 2019;-83.78404425296343;-91.59819558677104;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343796
"International Conference on Language Documentation &amp; Conservation";Honolulu, Hawaiʻi;Feb 28, 2019;Mar 03, 2019;65.72978834901035;31.537905731057624;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327796
International Conference on Pluricentricity vs. Pluriareality - Models, Varieties, Approaches;Münster;Feb 08, 2019;Feb 10, 2019;-46.5644571806067;117.62500048010739;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344116
International Mother Language Conference;Kitui County;Feb 20, 2019;Feb 22, 2019;-42.75164114003717;32.00521798093674;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355036
Language, Identity and Education in Multilingual Contexts;York;Feb 14, 2019;Feb 16, 2019;-66.68013562349715;-48.39090889488604;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337856
Mobile Language Learning Experience;New York, NY;Feb 21, 2019;Feb 22, 2019;-77.44775059558802;-43.52864435143253;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331856
Multimodale Kommunikation in den Hypermedien - Herausforderungen für die Deutschdidaktik;Bochum;Feb 06, 2019;Feb 08, 2019;64.70692806467856;155.98549959139305;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334676
National Conference on New Trends in Applied Linguistics and Translation Studies;Baharestan, Isfahan;Feb 21, 2019;Feb 21, 2019;-85.89541400583748;-12.069217246958141;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335236
Natural Language Processing in Artificial Intelligence 2019;Prague;Feb 19, 2019;Feb 21, 2019;-71.26515969730555;-154.88587087862885;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346376
Spanish Linguistics in North Carolina 2019;Chapel Hill, NC;Feb 09, 2019;Feb 09, 2019;34.002088216779256;-92.56623492538336;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341716
Specialised Discourse and Multimedia: Linguistic features and translation issues;Lecce;Feb 14, 2019;Feb 16, 2019;-85.28691461760472;-100.27348073291698;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324217
Task-based Teaching and the Place of Grammar in Secondary-School Foreign-Language Classes : Finding a Common Ground;Paris Nanterre;Feb 08, 2019;Feb 09, 2019;75.09170159716321;-4.826453183963914;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325096
Texas Linguistics Society;Austin, Texas;Feb 22, 2019;Feb 24, 2019;79.71846826069076;127.9917598732951;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344736
The University of Alabama Languages Conference;Tuscaloosa, AL;Feb 08, 2019;Feb 09, 2019;58.08522983831587;-0.8285950650509448;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343616
Time and Temporality in the Asian and European Modernity;Hyderabad, South India;Feb 15, 2019;Feb 17, 2019;60.174978880607206;33.647195099132865;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325776
Transdisciplinary Approaches to Language Variation 2;Limassol;Feb 15, 2019;Feb 16, 2019;76.14715951229333;-165.4092974430007;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345496
Workshop in Cognitive Approaches in Language Learning and Bilingualism;University of Gothenburg;Feb 07, 2019;Feb 08, 2019;-73.41473469054864;139.42440848045234;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317076
XXXIX International VAKKI Symposium;Vaasa;Feb 07, 2019;Feb 08, 2019;87.37188616260535;21.381388791321445;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332516
12th Toronto Undergraduate Linguistics Conference;Toronto;Mar 08, 2019;Mar 10, 2019;-1.08633147749076;133.92531775582574;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355356
16th Workshop in General Linguistics;Madison, WI;Mar 30, 2019;Mar 31, 2019;-20.713717712229915;-89.9189440172014;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352936
20th Szklarska Poręba Workshop on the Roots of Pragmasemantics;Szklarska Poręba;Mar 01, 2019;Mar 04, 2019;57.784021247446326;-53.25054828818329;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353976
22nd Annual Ohio State University Congress on Hispanic and Lusophone Linguistics;Columbus, Ohio;Mar 29, 2019;Mar 30, 2019;-47.519105589806315;115.42121716875877;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351716
25th Annual University of Texas Arlington Students Conference of Linguistics and TESOL;Arlington, TX;Mar 01, 2019;Mar 02, 2019;3.0465732505411998;-100.89657063365827;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353516
2nd International Conference on Bilingualism;University of Malta Valletta Campus;Mar 25, 2019;Mar 27, 2019;78.23000954889184;98.87776795553586;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325456
2nd International Conference on Theoretical East Asian Psycholinguistics;Tsinghua University, Beijing;Mar 16, 2019;Mar 17, 2019;13.002414885972986;-114.05115762086152;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345556
"2nd Modern Linguistics &amp; Language Didactics Conference - Focus: Grammaticality Judgments &amp; Language Awareness";Bochum, NRW;Mar 28, 2019;Mar 29, 2019;65.95260194768866;111.70824000616696;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332376
32nd CUNY Conference on Human Sentence Processing;Boulder, Colorado;Mar 29, 2019;Mar 31, 2019;30.342196214711443;-37.35531881331489;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349576
41st Annual Meeting of the Deutsche Gesellschaft für Sprachwissenschaft;Bremen;Mar 06, 2019;Mar 08, 2019;-84.38285154430062;16.27077598877444;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331396
43rd Annual Penn Linguistics Conference;Philadelphia, PA;Mar 22, 2019;Mar 24, 2019;29.603605987401814;123.91486544338747;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347996
4th International Conference: The Magic of Innovation: Integrative Trends in Linguistics and Foreign Language Teaching;Moscow;Mar 22, 2019;Mar 23, 2019;-13.243113606324638;-26.196688768965192;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340616
50 Jahre Speech Acts – Bilanz und Perspektiven;Bremen;Mar 05, 2019;Mar 05, 2019;-47.24109006653117;-50.727099984570366;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331196
6th Scarborough Undergraduate Linguistics Conference;Toronto, Ontario;Mar 01, 2019;Mar 01, 2019;-30.253891016842605;121.9363876441634;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356536
7th NTU Postgraduate Conference on Teaching Chinese as a Second Language;Taipei;Mar 23, 2019;Mar 23, 2019;50.76031917623259;-89.24988133931477;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336676
8th Annual Hispanic and Luso-Brazilian Linguistics Conference;Tempe, Arizona;Mar 29, 2019;Mar 30, 2019;-77.59027432245593;34.198703560584335;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354776
AESLA International Conference – University of Valladolid (Spain): Bilingualism and Languages in Contact;Valladolid;Mar 27, 2019;Mar 29, 2019;-27.07616160513663;40.47819990922731;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335736
Apollonius and Priscian Colloquium Transmission, Translation, Tradition: History of Reception;Bordeaux;Mar 21, 2019;Mar 23, 2019;65.09441015745826;-39.08097404303865;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330496
Applied Linguistics and Language Teaching International Conference and Exhibition 2019;Dubai;Mar 07, 2019;Mar 09, 2019;-74.20529478242145;118.59985959397596;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353356
BAAL TEA SIG Conference 2019;London;Mar 29, 2019;Mar 29, 2019;-80.70328508713338;86.40035349462327;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343356
Chinese Culture in the Global Context International Conference 2019;Hong Kong;Mar 13, 2019;Mar 15, 2019;60.763976184015206;-118.26931261167417;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342556
Colloque Diachro IX Le français en diachronie;Salamanca;Mar 28, 2019;Mar 30, 2019;57.42274200028002;-151.5995410109853;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335096
Construcciones en español: contacto, variación y cambio;Berlin;Mar 27, 2019;Mar 31, 2019;55.13287869554658;104.28277680163947;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322516
Current Trends in Linguistics 2019;Hamburg;Mar 28, 2019;Mar 29, 2019;69.96335185875763;166.46615786665333;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340216
Descriptive Grammars and Typology: The Challenges of Writing Grammars of Underdescribed and Endangered Languages;Helsinki;Mar 27, 2019;Mar 29, 2019;-11.501207320594887;0.6036710030392007;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330796
Digital Approaches to Teaching Historical Languages;Berlin;Mar 28, 2019;Mar 29, 2019;-48.73117195335795;86.00336208231366;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349636
Diversity of Writing Systems: Embracing Multiple Perspectives. Association of Written Language and Literacy's 12th International Workshop;Cambridge;Mar 26, 2019;Mar 28, 2019;-29.09054209706961;77.17366260258264;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329336
Dominanz Macht Sprache;Cluj-Napoca;Mar 11, 2019;Mar 12, 2019;-78.24476634621476;-2.5245262725995548;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333016
Educating the Global Citizen – International Perspectives on Foreign Language Teaching in the Digital Age;Munich, Bavaria;Mar 25, 2019;Mar 28, 2019;46.83741734112665;-90.41047547125082;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345756
Embodying Transitions Beings and Becomings;Madison, Wisconsin;Mar 06, 2019;Mar 09, 2019;-47.15246974493694;117.93480523669785;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348296
English in Contact;Fukuoka;Mar 28, 2019;Mar 29, 2019;25.237060160827127;-26.12305639843471;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342996
English Studies at the Interface of Disciplines: Research and Practice - 2019;Skopje;Mar 21, 2019;Mar 23, 2019;-65.69752589600668;18.203718500637287;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332876
European Dialect Syntax (Edisyn) Workshop IX;Glasgow;Mar 22, 2019;Mar 23, 2019;-45.60622467071465;-113.18660809887913;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350777
Forging Linguistic Identities;Towson, Maryland;Mar 14, 2019;Mar 16, 2019;6.209335344952438;-168.33625231934812;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329096
Formal Approaches to South Asian Languages;Portland, Oregon;Mar 16, 2019;Mar 17, 2019;-30.021164473079583;12.082989143115627;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351476
