name;city;start_date;end_date;Latitude;Longtitude;link
CLIN 29: Computational Linguistics in The Netherlands;Groningen;0 31, 2019;0 31, 2019;-7.688792395889267;-124.08093586275655;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345656
Community-based Language Research across the Americas;New York, NY;0 02, 2019;0 03, 2019;12.671323394038657;-140.43675188960538;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336996
Computer-Assisted Literary Translation workshop;Swansea;0 25, 2019;0 26, 2019;11.943061058272267;-16.027124484477003;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352796
Conference On Asian Linguistic Anthropology 1;Siem Reap;0 23, 2019;0 26, 2019;15.425625654143477;39.35684930764346;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=301076
Experimental Approaches to Cross-linguistic Variation in Island Phenomena;New York, New York;0 03, 2019;0 07, 2019;5.6367182163264875;-166.7827094972881;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326676
Fifth International Workshop for Computational Linguistics of Uralic Languages;Tartu;0 07, 2019;0 08, 2019;-83.16618244195554;-91.49693105365576;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338496
Fifth National Language Conference;Cuttack, Odisha,;0 19, 2019;0 21, 2019;-0.050278578658931136;157.41614710310094;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349456
First(!) Annual Meeting of the North American Research Network in Historical Sociolinguistics;New York City;0 05, 2019;0 05, 2019;-12.318923227337708;118.54607768257374;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332436
Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen;Berlin;0 21, 2019;0 22, 2019;-16.83542190160777;25.973147167587527;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331036
Hybrid/Paradoxal Representations of Gender and Sexuality;Siem Reap;0 23, 2019;0 26, 2019;-81.24230643343104;66.85347530834086;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338356
Interdisciplinary Conference on the Prehistory of Transeurasian Millets and Beans, Languages and Genes;Jena, Thuringia;0 08, 2019;0 11, 2019;-50.39216607338039;-134.70929047384521;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342896
International Perspectives on Assessing World Languages;Cairo;0 30, 2019;0 31, 2019;51.42339253135514;169.6266218135159;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346976
JALT Hokkaido Winter Language Teaching Conference;Sapporo, Hokkaido;0 26, 2019;0 27, 2019;12.89210853605561;24.010434754749745;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340376
Language and Post-queer Sexuality in East Asia;Siem Reap;0 23, 2019;0 26, 2019;-75.78055218833792;66.89523621588047;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338376
L'apprenant en langues et dans les métiers de la traduction : source d'interrogations et de perspectives / Language learners and learning in the language and translation professions: questions pending and future avenues to explore;Rennes;0 31, 2019;1 02, 2019;-71.85190549555507;-131.01072990099263;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325356
Las categorías gramaticales. Relaciones y diferencias, treinta años después;Madrid;0 30, 2019;1 02, 2019;53.504272242032194;-5.294010466479131;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347916
L’épilinguistique et le métalinguistique en linguistique énonciative;Paris Est-Marne La Vallée;0 17, 2019;0 18, 2019;75.84629767828505;-28.051379825382234;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335436
Linguistics and its Historical Forms of Organization and Production;Paris;0 24, 2019;0 26, 2019;-78.60553394488218;115.91406428155926;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328316
Linguistic Society of America 93rd Annual Meeting;New York, NY;0 03, 2019;0 06, 2019;55.821360165904544;94.0066546593082;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329876
Modern Language Association: Selected Topics in Romance Linguistics;Chicago, IL;0 03, 2019;0 06, 2019;-89.03058013688094;-15.201858184351613;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317056
Particles in German, English and Beyond;Saarbrücken (Saarland University);0 21, 2019;0 22, 2019;-0.8681919764777881;164.15841669354796;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345396
Secrets of Success. Or: How to preserve a Verb Second word order?;Oslo;0 10, 2019;0 11, 2019;-27.792824721415666;73.64709880238918;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345916
Society for Computation in Linguistics Second Meeting;New York, NY;0 03, 2019;0 06, 2019;-88.630522218889;109.16954935262748;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328816
Society for Pidgin and Creole Linguistics - Winter Conference 2019;New York;0 03, 2019;0 06, 2019;57.38711473390838;5.826487808922277;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334436
Spatial Patterns of Language Evolution;Zurich;0 24, 2019;0 24, 2019;49.86770769588271;-166.23177353018798;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341176
Teaching General Linguistics Classes - LSA Special Session;New York, NY;0 03, 2019;0 06, 2019;60.908540637831884;137.70218120567122;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327696
The 9th International Conference on Han Characters Education and Research;Ho Chi Minh City University of Education, Vietnam;0 19, 2019;0 21, 2019;-89.32495397584104;141.8649431283073;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340396
The Society for the Study of Indigenous Languages of the Americas Winter Meeting 2019;New York City, NY;0 03, 2019;0 06, 2019;-1.4647556912212234;-112.06282887446773;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322916
Workshop: Multilingualism, Contact and Documenting Endangered Languages;New York, New York;0 06, 2019;0 06, 2019;25.09758147667496;-75.37566351196459;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338196
11th International Conference on Middle English;Florence;1 05, 2019;1 08, 2019;-86.13235889804461;-80.80187009157537;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=315817
18th SLAT Interdisciplinary Roundtable;Tucson;1 08, 2019;1 09, 2019;-14.829699094475217;-151.4405724241931;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352076
1st FARMM Challenge Formal Approaches to Romance Microvariation and Microcontact;Barcelona;1 15, 2019;1 15, 2019;-68.5671079000961;-103.31645375850312;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342436
29th Annual Graduate and Professional Symposium on Hispanic and Luso-Brazilian Literature, Language and Culture:;Tucson, AZ;1 22, 2019;1 23, 2019;-22.81262258067997;-101.25513487345658;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356476
2nd International Cyprus Undergraduate Linguistics Conference;Nicosia;1 16, 2019;1 17, 2019;57.90938770773242;-84.09127870551933;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345436
3rd Workshop on the Use of Computational Methods in the Study of Endangered Languages;Honolulu, Hawai'i;1 26, 2019;1 27, 2019;-19.048583611178476;-114.15267910122724;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334236
40th Annual Southwest Popular/American Culture Association;Albuquerque, NM;1 20, 2019;1 23, 2019;-2.350977062173518;108.86078723763353;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342856
45th Incontro di Grammatica Generativa;Padova;1 21, 2019;1 23, 2019;28.676478694428;29.06160058689077;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347536
4th International Conference ‘From Theory to Practice in Language for Specific Purposes’;Zagreb;1 21, 2019;1 23, 2019;-25.53811261095035;172.76051271622075;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335616
4th Intonation Workshop;Toronto, ON;1 15, 2019;1 15, 2019;46.62047584634575;-80.55153807358066;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348016
4th Workshop on Turkic and Languages in Contact with Turkic;New York, New York;1 16, 2019;1 17, 2019;60.63035629647078;5.471728345410781;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340417
5th International Conference on the Teaching of French;San Juan;1 28, 2019;2 02, 2019;-79.36949504716017;-150.78974074156554;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330116
6th National Symposium on Spanish as a Heritage Language;McAllen, Texas;1 21, 2019;1 23, 2019;-15.106527158362331;-64.69528132349718;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329896
7th International Conference on Endangered and Lesser Known Languages;kolkata;1 20, 2019;1 23, 2019;4.957775628995797;37.7093008517314;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329977
AISV Conference 2019: Audio Archives at the Crossroads of Speech Sciences, Digital Humanities and Digital Heritage;Arezzo;1 14, 2019;1 16, 2019;-3.502366592285002;-21.75779098436677;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338396
AItLA 2019: Minority Languages Between Localism and Globalization;Cagliari;1 21, 2019;1 23, 2019;-82.33957837769097;-174.97819699802238;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335976
American Association for the Advancement of Science;Washington DC;1 14, 2019;1 17, 2019;-45.96520080810469;-37.91070476665812;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347176
Applied Winter Linguistics Conference 2019 (ALWC);Binghamton, New York;1 09, 2019;1 09, 2019;40.09765729086371;72.93307988408345;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345456
Australian Humour Studies Network conference;Melbourne, Victoria;1 06, 2019;1 08, 2019;54.14337016036596;29.304492359708423;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326337
BLS Workshop: Countability Distinctions;Berkeley, CA;1 08, 2019;1 09, 2019;-4.839679866147399;-128.71196385832542;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350476
ConSOLE XVII 2019;Berlin;1 21, 2019;1 23, 2019;-4.376926062504028;-106.09053380023454;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332316
Corpora for Language and Aging Research 4: Interaction, Methods, and Positions;Helsinki;1 27, 2019;2 01, 2019;76.88071194203339;54.226310426117614;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332216
Crossing the Border between Spanish and English: Current issues, future perspectives, linguistic and literary insights;Ghent;1 05, 2019;1 06, 2019;-86.49886561159589;60.35884660966518;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331716
Explanation and Prediction in Linguistics. Formalist and Functionalist Approaches;Heidelberg, Baden-Württemberg;1 13, 2019;1 14, 2019;8.439048633136764;-154.21927703852396;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352716
First Conference of Indonesian Community for Forensic Linguistics;Pekanbaru, Riau Province;1 09, 2019;1 09, 2019;-77.11007138029302;141.45887033846523;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355396
Giornate di Studi Scientifici sul Linguaggio II - 2019;Rovereto (TN);1 11, 2019;1 12, 2019;17.91744981427336;-95.80973651481807;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354716
Integration of Universities into International Academic Community: Tradition and Modern Tendencies;Ulyanovsk;1 14, 2019;1 16, 2019;53.808065705499395;-9.275841339515564;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341576
International Conference on Hindi as a Second / Foreign Language;Lisbon;1 06, 2019;1 08, 2019;27.22960945446073;161.252252155722;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323776
International Conference on Indigenous Languages, Societies and Cultures of India;Hyderabad, Telangana;1 21, 2019;1 22, 2019;-83.78404425296343;-91.59819558677104;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343796
"International Conference on Language Documentation &amp; Conservation";Honolulu, Hawaiʻi;1 28, 2019;2 03, 2019;65.72978834901035;31.537905731057624;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327796
International Conference on Pluricentricity vs. Pluriareality - Models, Varieties, Approaches;Münster;1 08, 2019;1 10, 2019;-46.5644571806067;117.62500048010739;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344116
International Mother Language Conference;Kitui County;1 20, 2019;1 22, 2019;-42.75164114003717;32.00521798093674;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355036
Language, Identity and Education in Multilingual Contexts;York;1 14, 2019;1 16, 2019;-66.68013562349715;-48.39090889488604;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337856
Mobile Language Learning Experience;New York, NY;1 21, 2019;1 22, 2019;-77.44775059558802;-43.52864435143253;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331856
Multimodale Kommunikation in den Hypermedien - Herausforderungen für die Deutschdidaktik;Bochum;1 06, 2019;1 08, 2019;64.70692806467856;155.98549959139305;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334676
National Conference on New Trends in Applied Linguistics and Translation Studies;Baharestan, Isfahan;1 21, 2019;1 21, 2019;-85.89541400583748;-12.069217246958141;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335236
Natural Language Processing in Artificial Intelligence 2019;Prague;1 19, 2019;1 21, 2019;-71.26515969730555;-154.88587087862885;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346376
Spanish Linguistics in North Carolina 2019;Chapel Hill, NC;1 09, 2019;1 09, 2019;34.002088216779256;-92.56623492538336;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341716
Specialised Discourse and Multimedia: Linguistic features and translation issues;Lecce;1 14, 2019;1 16, 2019;-85.28691461760472;-100.27348073291698;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324217
Task-based Teaching and the Place of Grammar in Secondary-School Foreign-Language Classes : Finding a Common Ground;Paris Nanterre;1 08, 2019;1 09, 2019;75.09170159716321;-4.826453183963914;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325096
Texas Linguistics Society;Austin, Texas;1 22, 2019;1 24, 2019;79.71846826069076;127.9917598732951;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344736
The University of Alabama Languages Conference;Tuscaloosa, AL;1 08, 2019;1 09, 2019;58.08522983831587;-0.8285950650509448;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343616
Time and Temporality in the Asian and European Modernity;Hyderabad, South India;1 15, 2019;1 17, 2019;60.174978880607206;33.647195099132865;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325776
Transdisciplinary Approaches to Language Variation 2;Limassol;1 15, 2019;1 16, 2019;76.14715951229333;-165.4092974430007;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345496
Workshop in Cognitive Approaches in Language Learning and Bilingualism;University of Gothenburg;1 07, 2019;1 08, 2019;-73.41473469054864;139.42440848045234;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317076
XXXIX International VAKKI Symposium;Vaasa;1 07, 2019;1 08, 2019;87.37188616260535;21.381388791321445;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332516
12th Toronto Undergraduate Linguistics Conference;Toronto;2 08, 2019;2 10, 2019;-1.08633147749076;133.92531775582574;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355356
16th Workshop in General Linguistics;Madison, WI;2 30, 2019;2 31, 2019;-20.713717712229915;-89.9189440172014;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352936
20th Szklarska Poręba Workshop on the Roots of Pragmasemantics;Szklarska Poręba;2 01, 2019;2 04, 2019;57.784021247446326;-53.25054828818329;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353976
22nd Annual Ohio State University Congress on Hispanic and Lusophone Linguistics;Columbus, Ohio;2 29, 2019;2 30, 2019;-47.519105589806315;115.42121716875877;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351716
25th Annual University of Texas Arlington Students Conference of Linguistics and TESOL;Arlington, TX;2 01, 2019;2 02, 2019;3.0465732505411998;-100.89657063365827;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353516
2nd International Conference on Bilingualism;University of Malta Valletta Campus;2 25, 2019;2 27, 2019;78.23000954889184;98.87776795553586;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325456
2nd International Conference on Theoretical East Asian Psycholinguistics;Tsinghua University, Beijing;2 16, 2019;2 17, 2019;13.002414885972986;-114.05115762086152;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345556
"2nd Modern Linguistics &amp; Language Didactics Conference - Focus: Grammaticality Judgments &amp; Language Awareness";Bochum, NRW;2 28, 2019;2 29, 2019;65.95260194768866;111.70824000616696;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332376
32nd CUNY Conference on Human Sentence Processing;Boulder, Colorado;2 29, 2019;2 31, 2019;30.342196214711443;-37.35531881331489;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349576
41st Annual Meeting of the Deutsche Gesellschaft für Sprachwissenschaft;Bremen;2 06, 2019;2 08, 2019;-84.38285154430062;16.27077598877444;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331396
43rd Annual Penn Linguistics Conference;Philadelphia, PA;2 22, 2019;2 24, 2019;29.603605987401814;123.91486544338747;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347996
4th International Conference: The Magic of Innovation: Integrative Trends in Linguistics and Foreign Language Teaching;Moscow;2 22, 2019;2 23, 2019;-13.243113606324638;-26.196688768965192;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340616
50 Jahre Speech Acts – Bilanz und Perspektiven;Bremen;2 05, 2019;2 05, 2019;-47.24109006653117;-50.727099984570366;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331196
6th Scarborough Undergraduate Linguistics Conference;Toronto, Ontario;2 01, 2019;2 01, 2019;-30.253891016842605;121.9363876441634;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356536
7th NTU Postgraduate Conference on Teaching Chinese as a Second Language;Taipei;2 23, 2019;2 23, 2019;50.76031917623259;-89.24988133931477;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336676
8th Annual Hispanic and Luso-Brazilian Linguistics Conference;Tempe, Arizona;2 29, 2019;2 30, 2019;-77.59027432245593;34.198703560584335;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354776
AESLA International Conference – University of Valladolid (Spain): Bilingualism and Languages in Contact;Valladolid;2 27, 2019;2 29, 2019;-27.07616160513663;40.47819990922731;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335736
Apollonius and Priscian Colloquium Transmission, Translation, Tradition: History of Reception;Bordeaux;2 21, 2019;2 23, 2019;65.09441015745826;-39.08097404303865;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330496
Applied Linguistics and Language Teaching International Conference and Exhibition 2019;Dubai;2 07, 2019;2 09, 2019;-74.20529478242145;118.59985959397596;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353356
BAAL TEA SIG Conference 2019;London;2 29, 2019;2 29, 2019;-80.70328508713338;86.40035349462327;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343356
Chinese Culture in the Global Context International Conference 2019;Hong Kong;2 13, 2019;2 15, 2019;60.763976184015206;-118.26931261167417;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342556
Colloque Diachro IX Le français en diachronie;Salamanca;2 28, 2019;2 30, 2019;57.42274200028002;-151.5995410109853;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335096
Construcciones en español: contacto, variación y cambio;Berlin;2 27, 2019;2 31, 2019;55.13287869554658;104.28277680163947;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322516
Current Trends in Linguistics 2019;Hamburg;2 28, 2019;2 29, 2019;69.96335185875763;166.46615786665333;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340216
Descriptive Grammars and Typology: The Challenges of Writing Grammars of Underdescribed and Endangered Languages;Helsinki;2 27, 2019;2 29, 2019;-11.501207320594887;0.6036710030392007;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330796
Digital Approaches to Teaching Historical Languages;Berlin;2 28, 2019;2 29, 2019;-48.73117195335795;86.00336208231366;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349636
Diversity of Writing Systems: Embracing Multiple Perspectives. Association of Written Language and Literacy's 12th International Workshop;Cambridge;2 26, 2019;2 28, 2019;-29.09054209706961;77.17366260258264;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329336
Dominanz Macht Sprache;Cluj-Napoca;2 11, 2019;2 12, 2019;-78.24476634621476;-2.5245262725995548;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333016
Educating the Global Citizen – International Perspectives on Foreign Language Teaching in the Digital Age;Munich, Bavaria;2 25, 2019;2 28, 2019;46.83741734112665;-90.41047547125082;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345756
Embodying Transitions Beings and Becomings;Madison, Wisconsin;2 06, 2019;2 09, 2019;-47.15246974493694;117.93480523669785;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348296
English in Contact;Fukuoka;2 28, 2019;2 29, 2019;25.237060160827127;-26.12305639843471;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342996
English Studies at the Interface of Disciplines: Research and Practice - 2019;Skopje;2 21, 2019;2 23, 2019;-65.69752589600668;18.203718500637287;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332876
European Dialect Syntax (Edisyn) Workshop IX;Glasgow;2 22, 2019;2 23, 2019;-45.60622467071465;-113.18660809887913;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350777
Forging Linguistic Identities;Towson, Maryland;2 14, 2019;2 16, 2019;6.209335344952438;-168.33625231934812;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329096
Formal Approaches to South Asian Languages;Portland, Oregon;2 16, 2019;2 17, 2019;-30.021164473079583;12.082989143115627;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351476
Generative Approaches to Second Language Acquisition 15;Reno, NV;2 22, 2019;2 24, 2019;-83.7069720283684;-82.62678090513454;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339656
Georgetown University Roundtable on Languages and Linguistics 2019;Washington, D.C.;2 29, 2019;2 31, 2019;-71.1361874396079;98.01617155923489;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356096
Hradec Králové Anglophone Conference 2019;Hradec Králové;2 28, 2019;2 29, 2019;34.5348999794276;-11.21440843710502;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348276
International Conference on Current Trends in Linguistics;Rouen;2 28, 2019;2 29, 2019;-70.5548108473896;72.27473447744127;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327437
International Conference on Education Quality 2019;Agadir;2 13, 2019;2 15, 2019;57.73571084054107;-91.12572986370083;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339736
International Conference on Multilingualism and Multilingual Education;Bielefeld;2 21, 2019;2 23, 2019;74.11158613615152;63.83294218818864;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343216
